fecha,tienda,producto,turno,unidades_vendidas,precio_unitario,venta_total
2024-01-02 03:00:00,Tienda_02,Cigarros,Noche,8,6.33,50.64
2024-01-02 04:00:00,Tienda_04,Bebidas,Tarde,0,3.15,0.0
2024-01-02 05:00:00,Tienda_04,Cigarros,Noche,2,9.47,18.94
2024-01-02 06:00:00,Tienda_01,Cigarros,Tarde,3,9.1,27.299999999999997
2024-01-02 07:00:00,Tienda_01,Snacks,Tarde,8,6.07,48.56
2024-01-02 08:00:00,Tienda_04,Snacks,Mañana,1,9.07,9.07
2024-01-02 09:00:00,Tienda_02,Bebidas,Mañana,3,5.99,17.97
2024-01-02 10:00:00,Tienda_02,Cigarros,Mañana,1,3.2,3.2
2024-01-02 11:00:00,Tienda_01,Bebidas,Mañana,6,9.51,57.06
2024-01-02 12:00:00,Tienda_04,Comida Rápida,Tarde,6,11.67,70.02
2024-01-02 13:00:00,Tienda_01,Bebidas,Noche,9,8.66,77.94
2024-01-02 14:00:00,Tienda_01,Abarrotes,Mañana,2,5.13,10.26
2024-01-02 15:00:00,Tienda_03,Bebidas,Mañana,5,5.06,25.299999999999997
2024-01-02 16:00:00,Tienda_03,Abarrotes,Mañana,4,11.33,45.32
2024-01-02 17:00:00,Tienda_03,Abarrotes,Noche,2,5.38,10.76
2024-01-02 18:00:00,Tienda_02,Abarrotes,Mañana,6,9.8,58.800000000000004
2024-01-02 19:00:00,Tienda_04,Comida Rápida,Noche,3,8.61,25.83
2024-01-02 20:00:00,Tienda_04,Bebidas,Tarde,4,8.13,32.52
2024-01-02 21:00:00,Tienda_04,Bebidas,Tarde,6,4.22,25.32
2024-01-02 22:00:00,Tienda_04,Comida Rápida,Tarde,1,2.83,2.83
2024-01-02 23:00:00,Tienda_03,Cigarros,Noche,5,7.14,35.699999999999996
2024-01-03 00:00:00,Tienda_02,Snacks,Mañana,3,11.89,35.67
2024-01-03 01:00:00,Tienda_02,Bebidas,Mañana,3,4.36,13.080000000000002
2024-01-03 02:00:00,Tienda_03,Snacks,Mañana,3,7.6,22.799999999999997
2024-01-03 03:00:00,Tienda_02,Comida Rápida,Mañana,3,8.87,26.61
2024-01-03 04:00:00,Tienda_03,Cigarros,Mañana,3,7.09,21.27
2024-01-03 05:00:00,Tienda_04,Cigarros,Noche,4,7.32,29.28
2024-01-03 06:00:00,Tienda_03,Cigarros,Tarde,7,8.78,61.459999999999994
2024-01-03 07:00:00,Tienda_04,Comida Rápida,Mañana,4,10.24,40.96
2024-01-03 08:00:00,Tienda_04,Abarrotes,Tarde,4,5.67,22.68
2024-01-03 09:00:00,Tienda_01,Abarrotes,Noche,1,11.04,11.04
2024-01-03 10:00:00,Tienda_03,Snacks,Noche,5,7.11,35.550000000000004
2024-01-03 11:00:00,Tienda_01,Abarrotes,Mañana,5,8.79,43.949999999999996
2024-01-03 12:00:00,Tienda_03,Abarrotes,Noche,5,3.51,17.549999999999997
2024-01-03 13:00:00,Tienda_03,Cigarros,Tarde,3,7.18,21.54
2024-01-03 14:00:00,Tienda_01,Cigarros,Mañana,0,2.65,0.0
2024-01-03 15:00:00,Tienda_01,Snacks,Mañana,2,6.21,12.42
2024-01-03 16:00:00,Tienda_03,Bebidas,Tarde,3,3.02,9.06
2024-01-03 17:00:00,Tienda_02,Snacks,Mañana,6,11.02,66.12
2024-01-03 18:00:00,Tienda_04,Snacks,Mañana,9,8.89,80.01
2024-01-03 19:00:00,Tienda_01,Comida Rápida,Tarde,7,10.02,70.14
2024-01-03 20:00:00,Tienda_04,Comida Rápida,Mañana,5,6.94,34.7
2024-01-03 21:00:00,Tienda_02,Snacks,Mañana,5,10.59,52.95
2024-01-03 22:00:00,Tienda_02,Snacks,Tarde,4,10.79,43.16
2024-01-03 23:00:00,Tienda_02,Snacks,Noche,1,5.89,5.89
2024-01-04 00:00:00,Tienda_01,Abarrotes,Tarde,3,6.08,18.240000000000002
2024-01-04 01:00:00,Tienda_02,Comida Rápida,Mañana,4,7.33,29.32
2024-01-04 02:00:00,Tienda_01,Snacks,Tarde,9,2.9,26.099999999999998
2024-01-04 03:00:00,Tienda_02,Cigarros,Mañana,2,11.96,23.92
2024-01-04 04:00:00,Tienda_04,Cigarros,Mañana,6,5.91,35.46
2024-01-04 05:00:00,Tienda_04,Abarrotes,Tarde,6,6.97,41.82
2024-01-04 06:00:00,Tienda_03,Abarrotes,Mañana,2,9.67,19.34
2024-01-04 07:00:00,Tienda_04,Bebidas,Noche,8,5.33,42.64
2024-01-04 08:00:00,Tienda_03,Bebidas,Mañana,5,4.42,22.1
2024-01-04 09:00:00,Tienda_04,Bebidas,Tarde,5,3.71,18.55
2024-01-04 10:00:00,Tienda_01,Abarrotes,Noche,4,7.52,30.08
2024-01-04 11:00:00,Tienda_04,Abarrotes,Noche,1,2.55,2.55
2024-01-04 12:00:00,Tienda_03,Abarrotes,Mañana,1,9.24,9.24
2024-01-04 13:00:00,Tienda_03,Cigarros,Tarde,4,6.88,27.52
2024-01-04 14:00:00,Tienda_02,Abarrotes,Mañana,4,7.55,30.2
2024-01-04 15:00:00,Tienda_01,Cigarros,Mañana,7,5.0,35.0
2024-01-04 16:00:00,Tienda_04,Bebidas,Tarde,5,4.19,20.950000000000003
2024-01-04 17:00:00,Tienda_02,Bebidas,Tarde,1,9.15,9.15
2024-01-04 18:00:00,Tienda_04,Bebidas,Mañana,5,4.5,22.5
2024-01-04 19:00:00,Tienda_04,Snacks,Noche,7,9.91,69.37
2024-01-04 20:00:00,Tienda_02,Snacks,Mañana,3,4.43,13.29
2024-01-04 21:00:00,Tienda_02,Comida Rápida,Noche,6,8.32,49.92
2024-01-04 22:00:00,Tienda_02,Comida Rápida,Mañana,4,8.62,34.48
2024-01-04 23:00:00,Tienda_02,Comida Rápida,Tarde,3,7.3,21.9
2024-01-05 00:00:00,Tienda_02,Snacks,Noche,4,11.97,47.88
2024-01-05 01:00:00,Tienda_04,Snacks,Tarde,3,6.07,18.21
2024-01-05 02:00:00,Tienda_02,Comida Rápida,Tarde,2,10.89,21.78
2024-01-05 03:00:00,Tienda_01,Comida Rápida,Tarde,4,4.11,16.44
2024-01-05 04:00:00,Tienda_03,Abarrotes,Tarde,4,5.7,22.8
2024-01-05 05:00:00,Tienda_02,Comida Rápida,Tarde,7,3.88,27.16
2024-01-05 06:00:00,Tienda_02,Abarrotes,Mañana,6,8.23,49.38
2024-01-05 07:00:00,Tienda_04,Cigarros,Noche,3,8.56,25.68
2024-01-05 08:00:00,Tienda_02,Snacks,Mañana,4,6.81,27.24
2024-01-05 09:00:00,Tienda_02,Comida Rápida,Mañana,3,9.34,28.02
2024-01-05 10:00:00,Tienda_02,Snacks,Mañana,5,10.74,53.7
2024-01-05 11:00:00,Tienda_04,Snacks,Tarde,5,9.88,49.400000000000006
2024-01-05 12:00:00,Tienda_02,Snacks,Mañana,8,4.8,38.4
2024-01-05 13:00:00,Tienda_03,Cigarros,Noche,5,5.54,27.7
2024-01-05 14:00:00,Tienda_04,Bebidas,Mañana,3,6.11,18.330000000000002
2024-01-05 15:00:00,Tienda_03,Comida Rápida,Tarde,0,4.44,0.0
2024-01-05 16:00:00,Tienda_04,Bebidas,Noche,4,5.93,23.72
2024-01-05 17:00:00,Tienda_02,Bebidas,Noche,3,4.76,14.28
2024-01-05 18:00:00,Tienda_03,Bebidas,Noche,2,11.96,23.92
2024-01-05 19:00:00,Tienda_04,Snacks,Noche,0,9.94,0.0
2024-01-05 20:00:00,Tienda_01,Abarrotes,Mañana,4,10.67,42.68
2024-01-05 21:00:00,Tienda_02,Snacks,Tarde,2,11.26,22.52
2024-01-05 22:00:00,Tienda_04,Snacks,Noche,5,8.82,44.1
2024-01-05 23:00:00,Tienda_01,Bebidas,Noche,6,4.17,25.02
2024-01-06 00:00:00,Tienda_04,Snacks,Tarde,5,9.71,48.550000000000004
2024-01-06 01:00:00,Tienda_01,Bebidas,Mañana,2,2.65,5.3
2024-01-06 02:00:00,Tienda_02,Abarrotes,Noche,6,3.58,21.48
2024-01-06 03:00:00,Tienda_03,Comida Rápida,Mañana,1,2.78,2.78
2024-01-06 04:00:00,Tienda_01,Bebidas,Mañana,3,3.79,11.370000000000001
2024-01-06 05:00:00,Tienda_04,Abarrotes,Mañana,3,9.64,28.92
2024-01-06 06:00:00,Tienda_02,Comida Rápida,Mañana,5,10.91,54.55
2024-01-06 07:00:00,Tienda_01,Cigarros,Noche,6,5.15,30.900000000000002
2024-01-06 08:00:00,Tienda_04,Bebidas,Noche,6,3.63,21.78
2024-01-06 09:00:00,Tienda_04,Bebidas,Mañana,5,5.09,25.45
2024-01-06 10:00:00,Tienda_04,Cigarros,Mañana,0,8.65,0.0
2024-01-06 11:00:00,Tienda_01,Cigarros,Tarde,5,5.83,29.15
2024-01-06 12:00:00,Tienda_01,Bebidas,Tarde,5,11.63,58.150000000000006
2024-01-06 13:00:00,Tienda_01,Cigarros,Tarde,3,3.74,11.22
2024-01-06 14:00:00,Tienda_03,Snacks,Noche,2,11.91,23.82
2024-01-06 15:00:00,Tienda_01,Comida Rápida,Tarde,1,2.62,2.62
2024-01-06 16:00:00,Tienda_01,Comida Rápida,Noche,2,6.79,13.58
2024-01-06 17:00:00,Tienda_01,Comida Rápida,Noche,6,4.89,29.339999999999996
2024-01-06 18:00:00,Tienda_03,Snacks,Noche,3,7.88,23.64
2024-01-06 19:00:00,Tienda_01,Cigarros,Noche,2,3.42,6.84
2024-01-06 20:00:00,Tienda_04,Abarrotes,Tarde,4,10.82,43.28
2024-01-06 21:00:00,Tienda_01,Cigarros,Mañana,2,3.8,7.6
2024-01-06 22:00:00,Tienda_04,Bebidas,Mañana,3,8.08,24.240000000000002
2024-01-06 23:00:00,Tienda_04,Comida Rápida,Mañana,6,2.82,16.919999999999998
2024-01-07 00:00:00,Tienda_04,Cigarros,Tarde,0,5.45,0.0
2024-01-07 01:00:00,Tienda_03,Abarrotes,Mañana,3,3.92,11.76
2024-01-07 02:00:00,Tienda_03,Bebidas,Tarde,4,11.79,47.16
2024-01-07 03:00:00,Tienda_03,Snacks,Tarde,3,2.61,7.83
2024-01-07 04:00:00,Tienda_01,Snacks,Tarde,7,5.85,40.949999999999996
2024-01-07 05:00:00,Tienda_04,Abarrotes,Mañana,4,5.38,21.52
2024-01-07 06:00:00,Tienda_03,Bebidas,Mañana,2,8.75,17.5
2024-01-07 07:00:00,Tienda_03,Comida Rápida,Mañana,3,3.04,9.120000000000001
2024-01-07 08:00:00,Tienda_01,Cigarros,Noche,5,10.2,51.0
2024-01-07 09:00:00,Tienda_03,Bebidas,Tarde,7,6.93,48.51
2024-01-07 10:00:00,Tienda_01,Snacks,Noche,4,6.8,27.2
2024-01-07 11:00:00,Tienda_02,Abarrotes,Tarde,5,4.65,23.25
2024-01-07 12:00:00,Tienda_03,Abarrotes,Mañana,4,7.16,28.64
2024-01-07 13:00:00,Tienda_02,Cigarros,Tarde,8,5.96,47.68
2024-01-07 14:00:00,Tienda_01,Abarrotes,Tarde,2,4.83,9.66
2024-01-07 15:00:00,Tienda_04,Abarrotes,Noche,2,4.1,8.2
2024-01-07 16:00:00,Tienda_03,Bebidas,Tarde,6,9.42,56.519999999999996
2024-01-07 17:00:00,Tienda_01,Comida Rápida,Mañana,0,3.85,0.0
2024-01-07 18:00:00,Tienda_04,Cigarros,Tarde,3,4.1,12.299999999999999
2024-01-07 19:00:00,Tienda_04,Bebidas,Tarde,5,7.98,39.900000000000006
2024-01-07 20:00:00,Tienda_02,Comida Rápida,Tarde,4,4.65,18.6
2024-01-07 21:00:00,Tienda_01,Bebidas,Noche,2,6.86,13.72
2024-01-07 22:00:00,Tienda_04,Bebidas,Tarde,1,7.75,7.75
2024-01-07 23:00:00,Tienda_03,Abarrotes,Tarde,1,5.11,5.11
2024-01-08 00:00:00,Tienda_03,Comida Rápida,Noche,3,5.76,17.28
2024-01-08 01:00:00,Tienda_02,Cigarros,Noche,3,4.5,13.5
2024-01-08 02:00:00,Tienda_04,Cigarros,Noche,4,6.87,27.48
2024-01-08 03:00:00,Tienda_01,Comida Rápida,Noche,5,11.93,59.65
2024-01-08 04:00:00,Tienda_03,Abarrotes,Mañana,5,5.95,29.75
2024-01-08 05:00:00,Tienda_04,Snacks,Mañana,2,8.71,17.42
2024-01-08 06:00:00,Tienda_04,Bebidas,Tarde,6,8.54,51.239999999999995
2024-01-08 07:00:00,Tienda_02,Abarrotes,Mañana,3,9.97,29.910000000000004
2024-01-08 08:00:00,Tienda_03,Comida Rápida,Tarde,3,9.26,27.78
2024-01-08 09:00:00,Tienda_03,Bebidas,Mañana,4,2.61,10.44
2024-01-08 10:00:00,Tienda_01,Cigarros,Noche,4,5.44,21.76
2024-01-08 11:00:00,Tienda_03,Snacks,Noche,2,10.77,21.54
2024-01-08 12:00:00,Tienda_01,Cigarros,Mañana,5,7.63,38.15
2024-01-08 13:00:00,Tienda_03,Comida Rápida,Mañana,3,3.49,10.47
2024-01-08 14:00:00,Tienda_02,Bebidas,Tarde,3,5.12,15.36
2024-01-08 15:00:00,Tienda_03,Comida Rápida,Tarde,5,5.19,25.950000000000003
2024-01-08 16:00:00,Tienda_01,Bebidas,Tarde,4,10.8,43.2
2024-01-08 17:00:00,Tienda_01,Abarrotes,Noche,6,7.76,46.56
2024-01-08 18:00:00,Tienda_02,Snacks,Noche,5,8.28,41.4
2024-01-08 19:00:00,Tienda_03,Abarrotes,Noche,1,5.99,5.99
2024-01-08 20:00:00,Tienda_03,Abarrotes,Noche,6,3.07,18.419999999999998
2024-01-08 21:00:00,Tienda_02,Comida Rápida,Tarde,4,3.21,12.84
2024-01-08 22:00:00,Tienda_03,Snacks,Noche,4,6.49,25.96
2024-01-08 23:00:00,Tienda_03,Bebidas,Noche,4,4.19,16.76
2024-01-09 00:00:00,Tienda_01,Bebidas,Noche,4,3.49,13.96
2024-01-09 01:00:00,Tienda_03,Cigarros,Noche,2,4.99,9.98
2024-01-09 02:00:00,Tienda_03,Bebidas,Mañana,2,9.55,19.1
2024-01-09 03:00:00,Tienda_02,Comida Rápida,Tarde,4,3.19,12.76
2024-01-09 04:00:00,Tienda_02,Abarrotes,Tarde,2,6.76,13.52
2024-01-09 05:00:00,Tienda_04,Abarrotes,Noche,4,10.35,41.4
2024-01-09 06:00:00,Tienda_01,Abarrotes,Mañana,6,5.05,30.299999999999997
2024-01-09 07:00:00,Tienda_03,Snacks,Tarde,2,5.37,10.74
2024-01-09 08:00:00,Tienda_03,Bebidas,Tarde,4,10.9,43.6
2024-01-09 09:00:00,Tienda_04,Comida Rápida,Noche,3,8.68,26.04
2024-01-09 10:00:00,Tienda_03,Snacks,Noche,4,10.08,40.32
2024-01-09 11:00:00,Tienda_01,Cigarros,Tarde,8,5.25,42.0
2024-01-09 12:00:00,Tienda_04,Comida Rápida,Tarde,4,11.97,47.88
2024-01-09 13:00:00,Tienda_01,Comida Rápida,Mañana,4,3.84,15.36
2024-01-09 14:00:00,Tienda_04,Comida Rápida,Tarde,5,11.64,58.2
2024-01-09 15:00:00,Tienda_04,Abarrotes,Tarde,3,11.07,33.21
2024-01-09 16:00:00,Tienda_02,Comida Rápida,Noche,7,7.74,54.18
2024-01-09 17:00:00,Tienda_01,Bebidas,Tarde,3,8.06,24.18
2024-01-09 18:00:00,Tienda_03,Comida Rápida,Noche,4,9.86,39.44
2024-01-09 19:00:00,Tienda_03,Abarrotes,Tarde,2,5.41,10.82
2024-01-09 20:00:00,Tienda_01,Comida Rápida,Tarde,4,7.51,30.04
2024-01-09 21:00:00,Tienda_03,Cigarros,Tarde,4,11.07,44.28
2024-01-09 22:00:00,Tienda_03,Cigarros,Mañana,2,3.15,6.3
2024-01-09 23:00:00,Tienda_01,Abarrotes,Noche,4,11.1,44.4
2024-01-10 00:00:00,Tienda_04,Bebidas,Mañana,3,9.42,28.259999999999998
2024-01-10 01:00:00,Tienda_01,Bebidas,Tarde,7,9.81,68.67
2024-01-10 02:00:00,Tienda_04,Snacks,Mañana,4,3.11,12.44
2024-01-10 03:00:00,Tienda_03,Abarrotes,Noche,3,4.28,12.84
2024-01-10 04:00:00,Tienda_03,Comida Rápida,Tarde,8,11.29,90.32
2024-01-10 05:00:00,Tienda_03,Abarrotes,Mañana,3,3.68,11.040000000000001
2024-01-10 06:00:00,Tienda_02,Snacks,Mañana,4,8.5,34.0
2024-01-10 07:00:00,Tienda_04,Abarrotes,Noche,7,9.94,69.58
2024-01-10 08:00:00,Tienda_02,Abarrotes,Mañana,5,4.7,23.5
2024-01-10 09:00:00,Tienda_02,Snacks,Noche,3,9.14,27.42
2024-01-10 10:00:00,Tienda_01,Bebidas,Tarde,10,3.12,31.200000000000003
2024-01-10 11:00:00,Tienda_02,Comida Rápida,Tarde,5,7.24,36.2
2024-01-10 12:00:00,Tienda_01,Snacks,Mañana,5,5.68,28.4
2024-01-10 13:00:00,Tienda_01,Cigarros,Tarde,2,8.63,17.26
2024-01-10 14:00:00,Tienda_02,Bebidas,Tarde,3,10.95,32.849999999999994
2024-01-10 15:00:00,Tienda_04,Cigarros,Mañana,3,3.69,11.07
2024-01-10 16:00:00,Tienda_04,Bebidas,Tarde,3,6.78,20.34
2024-01-10 17:00:00,Tienda_04,Comida Rápida,Mañana,0,6.52,0.0
2024-01-10 18:00:00,Tienda_04,Comida Rápida,Noche,2,5.58,11.16
2024-01-10 19:00:00,Tienda_04,Abarrotes,Noche,3,7.06,21.18
2024-01-10 20:00:00,Tienda_02,Cigarros,Noche,5,10.87,54.349999999999994
2024-01-10 21:00:00,Tienda_02,Bebidas,Mañana,4,11.75,47.0
2024-01-10 22:00:00,Tienda_03,Comida Rápida,Mañana,5,2.53,12.649999999999999
2024-01-10 23:00:00,Tienda_04,Snacks,Tarde,3,9.52,28.56
2024-01-11 00:00:00,Tienda_02,Comida Rápida,Tarde,3,8.34,25.02
2024-01-11 01:00:00,Tienda_03,Snacks,Tarde,2,11.95,23.9
2024-01-11 02:00:00,Tienda_04,Bebidas,Tarde,3,3.35,10.05
2024-01-11 03:00:00,Tienda_01,Comida Rápida,Tarde,4,10.21,40.84
2024-01-11 04:00:00,Tienda_03,Comida Rápida,Mañana,3,11.37,34.11
2024-01-11 05:00:00,Tienda_02,Bebidas,Mañana,3,11.17,33.51
2024-01-11 06:00:00,Tienda_01,Comida Rápida,Noche,3,7.83,23.490000000000002
2024-01-11 07:00:00,Tienda_01,Snacks,Noche,6,5.61,33.660000000000004
2024-01-11 08:00:00,Tienda_01,Comida Rápida,Noche,2,8.58,17.16
2024-01-11 09:00:00,Tienda_03,Cigarros,Noche,2,5.41,10.82
2024-01-11 10:00:00,Tienda_02,Abarrotes,Mañana,1,6.42,6.42
2024-01-11 11:00:00,Tienda_01,Snacks,Mañana,4,6.73,26.92
2024-01-11 12:00:00,Tienda_04,Cigarros,Mañana,6,5.37,32.22
2024-01-11 13:00:00,Tienda_01,Bebidas,Tarde,6,5.75,34.5
2024-01-11 14:00:00,Tienda_01,Snacks,Tarde,3,2.57,7.709999999999999
2024-01-11 15:00:00,Tienda_03,Abarrotes,Noche,9,5.32,47.88
2024-01-11 16:00:00,Tienda_03,Abarrotes,Tarde,4,6.99,27.96
2024-01-11 17:00:00,Tienda_02,Bebidas,Mañana,2,4.14,8.28
2024-01-11 18:00:00,Tienda_04,Bebidas,Noche,2,10.15,20.3
2024-01-11 19:00:00,Tienda_03,Snacks,Noche,0,7.61,0.0
2024-01-11 20:00:00,Tienda_01,Comida Rápida,Tarde,5,10.04,50.199999999999996
2024-01-11 21:00:00,Tienda_02,Bebidas,Noche,3,3.72,11.16
2024-01-11 22:00:00,Tienda_01,Comida Rápida,Tarde,4,10.29,41.16
2024-01-11 23:00:00,Tienda_01,Cigarros,Tarde,4,11.6,46.4
2024-01-12 00:00:00,Tienda_03,Abarrotes,Noche,4,5.85,23.4
2024-01-12 01:00:00,Tienda_02,Comida Rápida,Tarde,4,5.2,20.8
2024-01-12 02:00:00,Tienda_04,Abarrotes,Tarde,2,8.64,17.28
2024-01-12 03:00:00,Tienda_04,Comida Rápida,Tarde,4,8.54,34.16
2024-01-12 04:00:00,Tienda_03,Cigarros,Tarde,6,3.57,21.419999999999998
2024-01-12 05:00:00,Tienda_03,Bebidas,Noche,5,11.3,56.5
2024-01-12 06:00:00,Tienda_02,Cigarros,Mañana,5,7.05,35.25
2024-01-12 07:00:00,Tienda_04,Bebidas,Mañana,2,9.76,19.52
2024-01-12 08:00:00,Tienda_04,Bebidas,Tarde,3,5.91,17.73
2024-01-12 09:00:00,Tienda_04,Abarrotes,Tarde,3,4.98,14.940000000000001
2024-01-12 10:00:00,Tienda_01,Cigarros,Tarde,3,3.56,10.68
2024-01-12 11:00:00,Tienda_04,Comida Rápida,Mañana,3,5.11,15.330000000000002
2024-01-12 12:00:00,Tienda_01,Cigarros,Tarde,3,11.94,35.82
2024-01-12 13:00:00,Tienda_02,Abarrotes,Noche,6,8.75,52.5
2024-01-12 14:00:00,Tienda_01,Bebidas,Noche,4,10.13,40.52
2024-01-12 15:00:00,Tienda_02,Abarrotes,Noche,4,11.61,46.44
2024-01-12 16:00:00,Tienda_04,Snacks,Mañana,7,3.25,22.75
2024-01-12 17:00:00,Tienda_04,Snacks,Tarde,0,4.06,0.0
2024-01-12 18:00:00,Tienda_02,Comida Rápida,Tarde,5,11.32,56.6
2024-01-12 19:00:00,Tienda_03,Abarrotes,Tarde,5,7.86,39.300000000000004
2024-01-12 20:00:00,Tienda_02,Comida Rápida,Mañana,7,8.53,59.709999999999994
2024-01-12 21:00:00,Tienda_03,Comida Rápida,Mañana,2,6.56,13.12
2024-01-12 22:00:00,Tienda_01,Snacks,Mañana,2,10.24,20.48
2024-01-12 23:00:00,Tienda_01,Comida Rápida,Mañana,4,7.41,29.64
2024-01-13 00:00:00,Tienda_01,Snacks,Noche,2,10.35,20.7
2024-01-13 01:00:00,Tienda_04,Bebidas,Mañana,4,11.93,47.72
2024-01-13 02:00:00,Tienda_01,Abarrotes,Mañana,4,8.64,34.56
2024-01-13 03:00:00,Tienda_03,Comida Rápida,Mañana,2,7.52,15.04
2024-01-13 04:00:00,Tienda_01,Snacks,Tarde,2,5.97,11.94
2024-01-13 05:00:00,Tienda_02,Cigarros,Tarde,7,4.35,30.449999999999996
2024-01-13 06:00:00,Tienda_02,Comida Rápida,Tarde,1,8.74,8.74
2024-01-13 07:00:00,Tienda_04,Bebidas,Noche,7,3.1,21.7
2024-01-13 08:00:00,Tienda_02,Bebidas,Noche,1,11.58,11.58
2024-01-13 09:00:00,Tienda_03,Cigarros,Mañana,4,8.65,34.6
2024-01-13 10:00:00,Tienda_01,Snacks,Tarde,6,11.61,69.66
2024-01-13 11:00:00,Tienda_04,Comida Rápida,Noche,7,5.09,35.629999999999995
2024-01-13 12:00:00,Tienda_01,Snacks,Tarde,4,11.49,45.96
2024-01-13 13:00:00,Tienda_01,Bebidas,Noche,5,8.32,41.6
2024-01-13 14:00:00,Tienda_03,Snacks,Noche,4,10.2,40.8
2024-01-13 15:00:00,Tienda_02,Bebidas,Mañana,1,4.2,4.2
2024-01-13 16:00:00,Tienda_02,Snacks,Mañana,3,7.25,21.75
2024-01-13 17:00:00,Tienda_01,Cigarros,Noche,3,7.91,23.73
2024-01-13 18:00:00,Tienda_04,Abarrotes,Mañana,2,6.23,12.46
2024-01-13 19:00:00,Tienda_02,Cigarros,Noche,2,4.91,9.82
2024-01-13 20:00:00,Tienda_04,Cigarros,Noche,6,11.1,66.6
2024-01-13 21:00:00,Tienda_02,Abarrotes,Tarde,6,3.31,19.86
2024-01-13 22:00:00,Tienda_04,Abarrotes,Mañana,5,3.96,19.8
2024-01-13 23:00:00,Tienda_03,Comida Rápida,Mañana,7,5.54,38.78
2024-01-14 00:00:00,Tienda_04,Comida Rápida,Mañana,7,11.24,78.68
2024-01-14 01:00:00,Tienda_03,Cigarros,Tarde,5,7.86,39.300000000000004
2024-01-14 02:00:00,Tienda_03,Cigarros,Tarde,3,6.05,18.15
2024-01-14 03:00:00,Tienda_04,Bebidas,Tarde,3,6.33,18.990000000000002
2024-01-14 04:00:00,Tienda_03,Bebidas,Mañana,5,10.46,52.300000000000004
2024-01-14 05:00:00,Tienda_01,Comida Rápida,Mañana,5,2.75,13.75
2024-01-14 06:00:00,Tienda_03,Comida Rápida,Mañana,2,2.61,5.22
2024-01-14 07:00:00,Tienda_02,Bebidas,Tarde,7,2.94,20.58
2024-01-14 08:00:00,Tienda_04,Bebidas,Tarde,4,6.96,27.84
2024-01-14 09:00:00,Tienda_01,Snacks,Noche,4,8.02,32.08
2024-01-14 10:00:00,Tienda_04,Snacks,Tarde,3,8.43,25.29
2024-01-14 11:00:00,Tienda_02,Bebidas,Noche,6,9.45,56.699999999999996
2024-01-14 12:00:00,Tienda_02,Snacks,Mañana,4,4.3,17.2
2024-01-14 13:00:00,Tienda_02,Abarrotes,Tarde,5,4.99,24.950000000000003
2024-01-14 14:00:00,Tienda_03,Comida Rápida,Mañana,2,4.81,9.62
2024-01-14 15:00:00,Tienda_03,Comida Rápida,Mañana,9,3.92,35.28
2024-01-14 16:00:00,Tienda_04,Bebidas,Mañana,4,4.82,19.28
2024-01-14 17:00:00,Tienda_04,Cigarros,Mañana,6,8.33,49.980000000000004
2024-01-14 18:00:00,Tienda_01,Bebidas,Tarde,4,5.98,23.92
2024-01-14 19:00:00,Tienda_01,Snacks,Mañana,4,9.8,39.2
